desa_id,kecamatan_id,kabupaten_id,province_id,latitude,longitude,bank_name,bank_id,access_point_type,2_g,3_g,4_g
1406050003,1406050,1406,14,0.3459823,101.0256329,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
3171090001,3171090,3171,31,-6.221486,106.846194,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
3173020001,3173020,3173,31,-6.1968301,106.8286615,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
1371050020,1371050,1371,13,-0.9503486,100.3637831,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
3503110005,3503110,3503,35,-8.0614379,111.7073337,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
3273180006,3273180,3273,32,-6.919376,107.5944543,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
3674030002,3674030,3674,36,-6.343281,106.7290639,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
6205050013,6205050,6205,62,-0.947361,114.9008024,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
3273170002,3273170,3273,32,-6.922043799999999,107.6166006,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
8171020013,8171020,8171,81,-3.6918443,128.18427069999998,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
3275060001,3275060,3275,32,-6.2495723,106.9498584,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
3506201004,3506201,3506,35,-7.808973399999998,112.0437296,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
3517130008,3517130,3517,35,-7.555314,112.23503,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
7309040008,7309040,7309,73,-4.846938,119.558096,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
7371050003,7371050,7371,73,-5.1460178,119.4151821,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
6309070012,6309070,6309,63,-2.1544177,115.4395716,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
1374010003,1374010,1374,13,-0.4617855,100.4000676,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
6401040004,6401040,6401,64,-1.9136162,116.1928825,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
9471040002,9471040,9471,94,-2.538391,140.7116398,Asuransi Jiwa Bersama Bumiputera 1912,,Insurance,1.0,1.0,1.0
